Station,Code,Lat,Lon,Street,Number,Postal Code,City,Country
Domodossola,DOMOD,46.11529,8.29624,Piazza Giacomo Matteotti,25,28845,Domodossola,Italy
Dordrecht,DDR,51.80722046,4.66833353,Stationsplein,1,3311 JV,Dordrecht,Netherlands
Dordrecht Stadspolders,DDRS,51.80194473,4.716666698,Dudokplein,200,3315 KH,Dordrecht,Netherlands
Dordrecht Zuid,DDZD,51.79000092,4.671389103,Randweg,??,3318,Dordrecht,Netherlands
Dortmund Derne,EDD,51.56754,7.52855,Molkenstraße,7B/C,44329,Dortmund,Germany
Dortmund Hbf,EDO,51.517896,7.45929,Königswall,15,44137,Dortmund,Germany
Dortmund Kirchderne,EDKD,51.547076,7.510099,Rüschebrinkstraße,408,44328,Dortmund,Germany
Dresden Hbf,DRESD,51.04056,13.73203,Wiener Platz,4,1069,Dresden,Germany
Dresden-Neustadt,DRESDN,51.06581,13.741,Schlesischer Platz,1,1097,Dresden,Germany
Driebergen-Zeist,DB,52.0652771,5.258611202,Stationsweg,4,3972 KA,Driebergen-Rijsenburg,Netherlands
Driehuis,DRH,52.44250107,4.638055325,Van Den Vondellaan,100,1985 BD,Driehuis,Netherlands
Dronrijp,DRP,53.1778086,5.6347411,Hatzum,13B,9035 VK,Dronryp,Netherlands
Dronten,DRON,52.5344,5.72089,De Noord,??,8251,Dronten,Netherlands
Duffel,FDP,51.091389,4.493056,Spoorweglaan,??,2570,Duffel,Belgium
Duisburg Hbf,DUISB,51.42977857,6.775903702,Kammerstraße,3,47057,Duisburg,Germany
Duiven,DVN,51.94333267,6.014722347,Parallelweg,32,6922 HR,Duiven,Netherlands
Duivendrecht,DVD,52.32333374,4.936388969,Stationsplein,1,1115 BZ,Duivendrecht,Netherlands
Dülken,KDUL,51.257149,6.33793,Am Bahnhof,1,41751,Viersen,Germany
Dülmen,EDULH,51.827927,7.295756,Baumschulenweg,70,48249,Dülmen,Germany
Düren,KDR,50.8094,6.48203,Hauptbahnhof,1,52351,Düren,Germany
